"business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attributes.ByAppointmentOnly","attributes.BusinessAcceptsCreditCards","attributes.BikeParking","attributes.RestaurantsPriceRange2","attributes.CoatCheck","attributes.RestaurantsTakeOut","attributes.RestaurantsDelivery","attributes.Caters","attributes.WiFi","attributes.BusinessParking","attributes.WheelchairAccessible","attributes.HappyHour","attributes.OutdoorSeating","attributes.HasTV","attributes.RestaurantsReservations","attributes.DogsAllowed","attributes.Alcohol","attributes.GoodForKids","attributes.RestaurantsAttire","attributes.Ambience","attributes.RestaurantsTableService","attributes.RestaurantsGoodForGroups","attributes.DriveThru","attributes.NoiseLevel","attributes.GoodForMeal","attributes.BusinessAcceptsBitcoin","attributes.Smoking","attributes.Music","attributes.GoodForDancing","attributes.AcceptsInsurance","attributes.BestNights","attributes.BYOB","attributes.Corkage","attributes.BYOBCorkage","attributes.HairSpecializesIn","attributes.Open24Hours","attributes.RestaurantsCounterService","attributes.AgesAllowed","attributes.DietaryRestrictions"
"Yas-A9Jf07TJCIcgZny04w","China City Restaurant","1221 4th St N","Saint Petersburg","FL","33701","27.78462"," -82.63835","2.5","  14","0","False","True","True","1","False","True","True","False","False","{'garage': False"," 'street': False"," 'validated': False"," 'lot': True"," 'valet': False}","False","False","False","False","True",NA,NA,"True","u'casual'","{'romantic': False"," 'intimate': False"," 'classy': False"," 'hipster': False"," 'divey': True"," 'touristy': False"," 'trendy': False"," 'upscale': False"," 'casual': False}",NA,"True",NA,"u'quiet'",NA,NA,NA
"idRTl_xdqB12GWXIsisW-g","New Hong Kong Chinese Restaurant","10801 Starkey Rd, Ste 5","Seminole","FL","33777","27.87184"," -82.76013","2.5","  18","1","False","True","False","2","False","True","True","False","False","False","False","False","False","True","False","False","False","True","'casual'","None",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a8eIw8vCk-kIe__G6NUfaA","China Wok","10714 Countryway Blvd","Tampa","FL","33626","28.05717"," -82.62378","3.5","  17","0","False","True","False","1","False","True","True","False","u'no'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': True"," 'valet': False}","False","False","False","False","False",NA,"u'none'","True","u'casual'","{'romantic': False"," 'intimate': False"," 'touristy': False"," 'hipster': False"," 'divey': False"," 'classy': False"," 'trendy': False"," 'upscale': False"," 'casual': True}",NA,"False",NA,"u'quiet'",NA,NA,NA
"_uQEKHH0R5fxrYkLrUI9pQ","Gu Wei Noodles & Grill","18101 Highwoods Preserve Pkwy, Ste 100","Tampa","FL","33647","28.13161"," -82.36913","4.5","  40","1","False","True","False","0","False","True","True","True","u'free'","False","True","False","False","True","False","False","u'beer_and_wine'","False","False",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nteD5A6CKXZPqbR9EltQng","Super China Chinese Restaurant","8663 Little Rd","Port Richey","FL","34654","28.28336"," -82.67783","4.0","  54","1","False","True","True","1","False","True","True","False","'no'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","False","False","False","True","False",NA,"'none'","True","'casual'","{u'divey': None"," u'hipster': None"," u'casual': None"," u'touristy': None"," u'trendy': None"," u'intimate': None"," u'romantic': False"," u'classy': None"," u'upscale': None}",NA,"True",NA,NA,"None",NA,NA
"3n_G-_DwOJ2VS4uGxBN6sg","Lan Zhou Lamen","2716 E Fowler Ave","Tampa","FL","33612","28.05543"," -82.42925","4.0","  78","1","False","True","False","0","False","None","None","False","False","False","False","False","False","True","False","False","False","False","False","{u'divey': None"," u'hipster': None"," u'casual': True"," u'touristy': None"," u'trendy': None"," u'intimate': None"," u'romantic': False"," u'classy': None"," u'upscale': False}","True","True",NA,NA,"{u'breakfast': None"," u'brunch': None"," u'lunch': None"," u'dinner': True"," u'latenight': None"," u'dessert': None}",NA
"EjFp57Nd4bVgb5GNn-XnuA","Tokyo","7911 W Hillsborough Ave","Tampa","FL","33615","27.99697"," -82.57017","3.5"," 155","1","False","True","True","1","False","True","True","True","'no'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': True"," 'valet': False}","True","False","True","True","False",NA,"u'beer_and_wine'","True","u'casual'","{'touristy': False"," 'hipster': False"," 'romantic': False"," 'divey': None"," 'intimate': False"," 'trendy': False"," 'upscale': False"," 'classy': False"," 'casual': True}","True","True",NA,"u'quiet'","{'dessert': False"," 'latenight': None"," 'lunch': True"
"ewhGlOAo3GYriPFnLV004g","China Star","1762 22nd St S","Saint Petersburg","FL","33712","27.75240"," -82.66146","3.0","   6","1","False","False","False","0","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VOGWnQHijIpURf4eNSvIaw","Imperial Asian Buffet","21627 Villages Lakes Shopping Dr","Land o lakes","FL","34639","28.19088"," -82.45829","3.0","  56","0","False","True","True","2","False","True","False","True","u'free'","{'garage': None"," 'street': False"," 'validated': False"," 'lot': None"," 'valet': False}","False","False","False","True","False",NA,"u'beer_and_wine'","True","u'casual'","{'touristy': False"," 'hipster': False"," 'romantic': None"," 'divey': False"," 'intimate': False"," 'trendy': False"," 'upscale': False"," 'classy': False"," 'casual': True}","True","True",NA,"u'average'","{'dessert': None"," 'latenight': None"," 'lunch': True"
"UU48d45ZXJV1Sb8_Pmpvjg","Dragon City","801 E Bloomingdale Ave","Brandon","FL","33511","27.89314"," -82.27306","2.5","  25","0","False","True","False","1","False","True","True","False","u'no'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","False","False","False","True","False",NA,"u'none'","True","u'casual'","{'romantic': False"," 'intimate': False"," 'touristy': False"," 'hipster': False"," 'divey': False"," 'classy': False"," 'trendy': False"," 'upscale': False"," 'casual': False}",NA,"False",NA,"u'quiet'",NA,NA,NA
