"BusinessAcceptsCreditCards","BusinessParking","RestaurantsPriceRange2","BikeParking","RestaurantsTakeOut","WiFi","RestaurantsDelivery","GoodForKids","OutdoorSeating","ByAppointmentOnly","HasTV","RestaurantsReservations","Ambience","RestaurantsGoodForGroups","Alcohol","Caters","RestaurantsAttire","NoiseLevel","WheelchairAccessible","GoodForMeal","RestaurantsTableService","DogsAllowed","BusinessAcceptsBitcoin","HappyHour","DriveThru","Music","AcceptsInsurance","CoatCheck","BestNights","Smoking","GoodForDancing","BYOB","Corkage","HairSpecializesIn","BYOBCorkage","AgesAllowed","Open24Hours","DietaryRestrictions","RestaurantsCounterService","business_id","name","address","city","state","postal_code","latitude","longitude","stars","is_open","categories"
"True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","1","True","True","False","True","True","False","False","False","True","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","True","False","False","u'casual'","u'quiet'","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Yas-A9Jf07TJCIcgZny04w","China City Restaurant","1221 4th St N","Saint Petersburg","FL","33701","27.7846206","-82.6383517","2.5","0","Restaurants, Chinese"
"True","False","2","False","True","False","True","True","False","False","True","False","None","True","False","False","'casual'","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","idRTl_xdqB12GWXIsisW-g","New Hong Kong Chinese Restaurant","10801 Starkey Rd, Ste 5","Seminole","FL","33777","27.87184","-82.760131","2.5","1","Restaurants, Chinese"
"True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","1","False","True","u'no'","True","True","False","False","False","False","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}","False","u'none'","False","u'casual'","u'quiet'","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","a8eIw8vCk-kIe__G6NUfaA","China Wok","10714 Countryway Blvd","Tampa","FL","33626","28.0571712","-82.6237785","3.5","0","Chinese, Restaurants"
"True","False","0","False","True","u'free'","True","False","False","False","True","False","False","False","u'beer_and_wine'","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","_uQEKHH0R5fxrYkLrUI9pQ","Gu Wei Noodles & Grill","18101 Highwoods Preserve Pkwy, Ste 100","Tampa","FL","33647","28.1316091","-82.3691327","4.5","1","Szechuan, Noodles, Restaurants, Chinese"
"True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","True","True","'no'","True","True","False","False","True","False","{u'divey': None, u'hipster': None, u'casual': None, u'touristy': None, u'trendy': None, u'intimate': None, u'romantic': False, u'classy': None, u'upscale': None}","True","'none'","False","'casual'","False","False","None","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","nteD5A6CKXZPqbR9EltQng","Super China Chinese Restaurant","8663 Little Rd","Port Richey","FL","34654","28.283355","-82.677826","4.0","1","Restaurants, Chinese"
"True","False","0","False","None","False","None","False","False","False","True","False","{u'divey': None, u'hipster': None, u'casual': True, u'touristy': None, u'trendy': None, u'intimate': None, u'romantic': False, u'classy': None, u'upscale': False}","True","False","False","False","False","False","{u'breakfast': None, u'brunch': None, u'lunch': None, u'dinner': True, u'latenight': None, u'dessert': None}","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","3n_G-_DwOJ2VS4uGxBN6sg","Lan Zhou Lamen","2716 E Fowler Ave","Tampa","FL","33612","28.0554349","-82.4292524","4.0","1","Chinese, Noodles, Seafood, Chicken Wings, Restaurants"
"True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","1","True","True","'no'","True","True","True","False","True","False","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}","True","u'beer_and_wine'","True","u'casual'","u'quiet'","True","{'dessert': False, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","EjFp57Nd4bVgb5GNn-XnuA","Tokyo","7911 W Hillsborough Ave","Tampa","FL","33615","27.9969683","-82.5701668","3.5","1","Chinese, Sushi Bars, Japanese, Restaurants"
"True","{'garage': None, 'street': False, 'validated': False, 'lot': None, 'valet': False}","2","True","True","u'free'","False","True","False","False","True","False","{'touristy': False, 'hipster': False, 'romantic': None, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}","True","u'beer_and_wine'","True","u'casual'","u'average'","False","{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","VOGWnQHijIpURf4eNSvIaw","Imperial Asian Buffet","21627 Villages Lakes Shopping Dr","Land o lakes","FL","34639","28.190878","-82.458285","3.0","0","Buffets, Asian Fusion, Sushi Bars, Restaurants, Chinese"
"True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","False","True","u'no'","True","True","False","False","True","False","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","False","u'none'","False","u'casual'","u'quiet'","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","UU48d45ZXJV1Sb8_Pmpvjg","Dragon City","801 E Bloomingdale Ave","Brandon","FL","33511","27.8931397","-82.273059","2.5","0","Restaurants, Chinese"
"True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","True","True","u'no'","True","True","False","False","False","True","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}","True","u'beer_and_wine'","False","u'casual'","u'quiet'","False","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","zPmSsAdvoBbo94msaYCLYg","Chopstix","1441 E Fletcher Ave","Tampa","FL","33612","28.0688469","-82.4437504","3.0","0","Restaurants, Chinese, Seafood"
