"business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attributes.ByAppointmentOnly","attributes.BusinessAcceptsCreditCards","attributes.BikeParking","attributes.RestaurantsPriceRange2","attributes.CoatCheck","attributes.RestaurantsTakeOut","attributes.RestaurantsDelivery","attributes.Caters","attributes.WiFi","attributes.BusinessParking","attributes.WheelchairAccessible","attributes.HappyHour","attributes.OutdoorSeating","attributes.HasTV","attributes.RestaurantsReservations","attributes.DogsAllowed","attributes.Alcohol","attributes.GoodForKids","attributes.RestaurantsAttire","attributes.Ambience","attributes.RestaurantsTableService","attributes.RestaurantsGoodForGroups","attributes.DriveThru","attributes.NoiseLevel","attributes.GoodForMeal","attributes.BusinessAcceptsBitcoin","attributes.Smoking","attributes.Music","attributes.GoodForDancing","attributes.AcceptsInsurance","attributes.BestNights","attributes.BYOB","attributes.Corkage","attributes.BYOBCorkage","attributes.HairSpecializesIn","attributes.Open24Hours","attributes.RestaurantsCounterService","attributes.AgesAllowed","attributes.DietaryRestrictions"
"VenhDgh9fRrh9c0Xq0LacQ","66 Q-pot","6851 66th St N","Pinellas Park","FL","33781","27.83449"," -82.72788","4.0"," 113","0","False","True","True","2","False","False","False","False","u'free'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': True"," 'valet': False}","True","False","False","True","True","False","u'beer_and_wine'","True","'casual'","{'touristy': False"," 'hipster': False"," 'romantic': False"," 'divey': False"," 'intimate': False"," 'trendy': False"," 'upscale': False"," 'classy': False"," 'casual': True}","True","True",NA,"u'quiet'","{'dessert': False"," 'latenight': False"," 'lunch': True"
"V3BE5TB1LOWbne3r-fWLsg","Kind Grinds","","Tampa","FL","33605","27.95654"," -82.42652","4.5","   6","0","False","True","False","1","False","False","False","True","False","{'garage': False"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","False","False","False","False","False",NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ow_vaAcbxjw-TOdGilc4AQ","Sushi Zen","11024 4th St N","Saint Petersburg","FL","33716","27.87164"," -82.63894","2.5","  17","0","False","True","True","2","False","True","False","False","'no'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","False","False","False","True","True",NA,"u'beer_and_wine'","True","u'casual'","{'romantic': False"," 'intimate': False"," 'classy': False"," 'hipster': False"," 'divey': False"," 'touristy': False"," 'trendy': False"," 'upscale': False"," 'casual': True}",NA,"True",NA,"u'quiet'",NA,NA,NA
"rdiB9Aye9-gkwd2hnckWHQ","Tsunami Sushi & Hibachi Grill","2020 Badlands Dr","Brandon","FL","33511","27.92715"," -82.31525","4.0"," 185","1","False","True","False","2","False","True","False","True","u'no'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': True"," 'valet': False}","False","True","False","True","True",NA,"u'beer_and_wine'","True","'casual'","{u'divey': False"," u'hipster': False"," u'casual': True"," u'touristy': False"," u'trendy': None"," u'intimate': True"," u'romantic': None"," u'classy': None"," u'upscale': False}","True","True",NA,"'average'","{'dessert': None"," 'latenight': False"," 'lunch': True"
"1aZdJGrBf2Oc4QoEvK7ECA","Anju St. Pete","2827 16th St N","St. Petersburg","FL","33704","27.79810"," -82.65482","4.0","  21","1","False","False","False","0","False","False","None","False","False","False","False","False","False","False","False","False","False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d9vapPUlJCSSrltRRKO9ig","Sushi Avenue","2826 E Bearss Ave","Tampa","FL","33613","28.08142"," -82.42757","4.0"," 150","1","False","True","True","2","False","True","True","True","u'free'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': True"," 'valet': False}","False","True","False","True","True",NA,"u'beer_and_wine'","True","u'casual'","{'touristy': False"," 'hipster': False"," 'romantic': False"," 'divey': False"," 'intimate': None"," 'trendy': True"," 'upscale': False"," 'classy': False"," 'casual': True}",NA,"True",NA,"'quiet'","{'dessert': False"," 'latenight': False"," 'lunch': True"
"kpF8q97-b2MDjmnJl74A1Q","Sa Ri One Kitchen","11842 Bruce B Downs Blvd","Tampa","FL","33612","28.05662"," -82.42684","4.5","  17","1","False","False","False","2","False","False","False","False","False","{u'valet': False"," u'garage': None"," u'street': None"," u'lot': True"," u'validated': False}","False","False","False","False","False","False",NA,NA,NA,"{u'divey': False"," u'hipster': None"," u'casual': True"," u'touristy': None"," u'trendy': None"," u'intimate': None"," u'romantic': False"," u'classy': False"," u'upscale': False}","False",NA,NA,NA,NA,NA,NA
"6n1m1XaSqZcGsBUige13rA","Rice Market and Restaurant","7525 W Hillsborough Ave","Tampa","FL","33615","27.99800"," -82.56368","3.0","  94","0","False","True","True","2","False","True","False","True","u'free'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': True"," 'valet': False}","False","False","False","False","True",NA,"u'beer_and_wine'","True","'casual'","{'romantic': False"," 'intimate': False"," 'touristy': False"," 'hipster': False"," 'divey': False"," 'classy': False"," 'trendy': False"," 'upscale': False"," 'casual': True}",NA,"True",NA,"u'average'",NA,"False",NA
"xh7mQ46QUMswpugKJFmppQ","Matjoa Korean BBQ","3580 Ulmerton Rd","Clearwater","FL","33762","27.89325"," -82.68203","4.5"," 160","1","False","True","True","2","False","True","True","True","u'free'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': True"," 'valet': False}","True","True","None","True","True",NA,"u'full_bar'",NA,NA,"{u'divey': None"," u'hipster': None"," u'casual': None"," u'touristy': False"," u'trendy': None"," u'intimate': None"," u'romantic': False"," u'classy': None"," u'upscale': False}","True","True",NA,"u'average'","{u'breakfast': None"," u'brunch': None"," u'lunch': None"
"nsrqa7wa8CS0oFOjig7FMg","Ginza Japanese Steakhouse","8104 W Waters Ave","Tampa","FL","33615","28.02550"," -82.57053","3.5","  10","0","False","True","False","2","False","True","False","False","False","{'garage': False"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","False","False","False","True","False",NA,"u'beer_and_wine'","True","u'casual'","{'romantic': False"," 'intimate': False"," 'touristy': False"," 'hipster': False"," 'divey': False"," 'classy': False"," 'trendy': False"," 'upscale': False"," 'casual': False}",NA,"True",NA,NA,NA,NA,NA
