"BusinessAcceptsCreditCards","BusinessParking","RestaurantsPriceRange2","BikeParking","RestaurantsTakeOut","WiFi","RestaurantsDelivery","GoodForKids","OutdoorSeating","ByAppointmentOnly","HasTV","RestaurantsReservations","Ambience","RestaurantsGoodForGroups","Alcohol","Caters","RestaurantsAttire","NoiseLevel","WheelchairAccessible","GoodForMeal","RestaurantsTableService","DogsAllowed","BusinessAcceptsBitcoin","HappyHour","DriveThru","Music","AcceptsInsurance","CoatCheck","BestNights","Smoking","GoodForDancing","BYOB","Corkage","HairSpecializesIn","BYOBCorkage","AgesAllowed","Open24Hours","DietaryRestrictions","RestaurantsCounterService","business_id","name","address","city","state","postal_code","latitude","longitude","stars","is_open","categories"
"True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","2","True","False","u'free'","False","True","False","False","True","True","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}","True","u'beer_and_wine'","False","'casual'","u'quiet'","True","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","VenhDgh9fRrh9c0Xq0LacQ","66 Q-pot","6851 66th St N","Pinellas Park","FL","33781","27.8344865813","-82.7278812626","4.0","0","Barbeque, Korean, Restaurants, Hot Pot"
"True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","False","False","False","False","False","False","False","False","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","V3BE5TB1LOWbne3r-fWLsg","Kind Grinds","False","Tampa","FL","33605","27.9565429","-82.4265217","4.5","0","Food Trucks, Restaurants, Food, Japanese, Korean"
"True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","2","True","True","'no'","False","True","False","False","True","True","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","True","u'beer_and_wine'","False","u'casual'","u'quiet'","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","ow_vaAcbxjw-TOdGilc4AQ","Sushi Zen","11024 4th St N","Saint Petersburg","FL","33716","27.8716422","-82.6389396","2.5","0","Sushi Bars, Korean, Restaurants"
"True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","2","False","True","u'no'","False","True","False","False","True","True","{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': None, u'intimate': True, u'romantic': None, u'classy': None, u'upscale': False}","True","u'beer_and_wine'","True","'casual'","'average'","False","{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","rdiB9Aye9-gkwd2hnckWHQ","Tsunami Sushi & Hibachi Grill","2020 Badlands Dr","Brandon","FL","33511","27.9271458636","-82.315246427","4.0","1","Korean, Japanese, Sushi Bars, Restaurants"
"False","False","0","False","False","False","None","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","1aZdJGrBf2Oc4QoEvK7ECA","Anju St. Pete","2827 16th St N","St. Petersburg","FL","33704","27.7980989234","-82.6548186384","4.0","1","Restaurants, Hot Dogs, Tapas/Small Plates, Korean, Asian Fusion"
"True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","2","True","True","u'free'","True","True","False","False","True","True","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': None, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}","True","u'beer_and_wine'","True","u'casual'","'quiet'","False","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","d9vapPUlJCSSrltRRKO9ig","Sushi Avenue","2826 E Bearss Ave","Tampa","FL","33613","28.0814183","-82.4275746","4.0","1","Korean, Japanese, Asian Fusion, Sushi Bars, Restaurants"
"False","{u'valet': False, u'garage': None, u'street': None, u'lot': True, u'validated': False}","2","False","False","False","False","False","False","False","False","False","{u'divey': False, u'hipster': None, u'casual': True, u'touristy': None, u'trendy': None, u'intimate': None, u'romantic': False, u'classy': False, u'upscale': False}","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","kpF8q97-b2MDjmnJl74A1Q","Sa Ri One Kitchen","11842 Bruce B Downs Blvd","Tampa","FL","33612","28.0566179","-82.4268442","4.5","1","Restaurants, Korean"
"True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","2","True","True","u'free'","False","True","False","False","False","True","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}","True","u'beer_and_wine'","True","'casual'","u'average'","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","6n1m1XaSqZcGsBUige13rA","Rice Market and Restaurant","7525 W Hillsborough Ave","Tampa","FL","33615","27.9980032604","-82.5636772197","3.0","0","Restaurants, Nightlife, Korean, Ethnic Food, Grocery, Ethnic Grocery, Lounges, Specialty Food, Food, Bars, Sushi Bars"
"True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","2","True","True","u'free'","True","False","None","False","True","True","{u'divey': None, u'hipster': None, u'casual': None, u'touristy': False, u'trendy': None, u'intimate': None, u'romantic': False, u'classy': None, u'upscale': False}","True","u'full_bar'","True","False","u'average'","True","{u'breakfast': None, u'brunch': None, u'lunch': None, u'dinner': True, u'latenight': None, u'dessert': None}","True","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","xh7mQ46QUMswpugKJFmppQ","Matjoa Korean BBQ","3580 Ulmerton Rd","Clearwater","FL","33762","27.8932480592","-82.6820344141","4.5","1","Korean, Restaurants, Barbeque"
"True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","2","False","True","False","False","True","False","False","True","False","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","True","u'beer_and_wine'","False","u'casual'","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","nsrqa7wa8CS0oFOjig7FMg","Ginza Japanese Steakhouse","8104 W Waters Ave","Tampa","FL","33615","28.025503","-82.570526","3.5","0","Korean, Japanese, Restaurants, Steakhouses"
