"","business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attributes.WiFi","attributes.WheelchairAccessible","attributes.DogsAllowed","attributes.Alcohol","attributes.GoodForKids","attributes.RestaurantsGoodForGroups"
"14","pJfh3Ct8iL58NZa8ta-a5w","Top Shelf Sports Lounge","3173 Cypress Ridge Blvd","Wesley Chapel","FL","33544","28.19625"," -82.38062","4.5","  95","1","u'free'","True","False","u'full_bar'","False"," 'romantic': False"
"15","11:30-22:0","11:30-23:30","11:30-23:30","11:30-23:30","11:30-23:30","10:0-23:30","10:0-22:0","","","","","","","","","",""
"17","vje0KIiE7vtpx7JzmBx5LQ","The Pearl","163 107th Ave","Treasure Island","FL","33706","27.76940"," -82.76732","4.0"," 129","1","'free'"," 'street': False","False","True","False","False"
"39","xbRbvXSAVZBEwaUUn3mzbg","Lee Roy Selmon's","14457 N Dale Mabry Hwy","Tampa","FL","33618","28.07873"," -82.50631","3.5","  42","0","'free'"," 'street': False","True","True","True","True"
"42","VVvUBlc_WIEb8obKGq39dA","Four Green Fields","4100 George J Bean Pkwy, Airside E, Tampa International Airport","Tampa","FL","33607","27.98040"," -82.53779","4.5","  39","1","'no'"," 'street': False","False","False","True","True"
"43","5:0-21:30","5:0-21:30","5:0-21:30","5:0-21:30","5:0-21:30","","","","","","","","","","","",""
"47","dJfkfBbJz7wi0RgW-ph_Eg","Sake House","5106 E Fowler Ave","Tampa","FL","33617","28.05521"," -82.39937","3.0"," 140","0","u'no'"," 'street': False","True","False","True","True"
"58","XwoXi0M66RU6Gouq-DSDHw","G Peppers Grill & Tavern","8745 Gunn Hwy","Odessa","FL","33556","28.09214"," -82.57857","4.0","  82","1","u'free'"," 'street': False","True","False","True","True"
"68","j9Kaj_6tSeXmVMYCgZithg","Noble Crust","28330 Paseo Dr","Wesley Chapel","FL","33543","28.18822"," -82.34727","4.5"," 496","1","'free'"," 'street': False","True","True","True","True"
"96","dIpTuL2T1L98GQGU17IeSw","The Bricks","1327 E 7th Ave","Tampa","FL","33605","27.96002"," -82.44440","4.0"," 548","1","u'free'"," 'street': True","True","True","True","True"
"105","SFKjUQ1gmfwm7cJhMCFmkA","ZigZag Scallop","4417 Calienta St","Hernando Beach","FL","34607","28.49770"," -82.65001","4.0"," 214","1","u'free'"," 'street': False","True","True","True","True"
"122","uKEabBQrn0gLzvTppOrKIA","Casita Taqueria","2701 4th St","Saint Petersburg","FL","33704","27.79698"," -82.63817","4.5"," 207","1","'no'"," 'street': None","True","True","True","True"
"143","71U7MxQEhwitJOm4CQpRwQ","KELP Sushi Joint","3401 W Bay To Bay Blvd, Ste D","Tampa","FL","33629","27.92007"," -82.49892","4.0"," 325","1","u'free'"," 'street': False","True","True","False","True"
"147","sWCCxY1-9B1FGlSVeQvnHg","CD Roma Restaurant","1462 66th St N","St Petersburg","FL","33710","27.78549"," -82.73029","4.0"," 125","1","u'free'"," 'street': False","True","True","True","True"
"148","11:0-21:0","11:0-22:0","11:0-19:0","11:0-22:0","11:0-21:0","","","","","","","","","","","",""
"187","dUctvEfHQccW_uxtRup2QQ","Tsunami Japanese Steakhouse","2176 Tyrone Blvd N","Saint Petersburg","FL","33710","27.78996"," -82.72622","3.0"," 212","1","'no'"," 'street': False","True","False","True","True"
"199","Ea2hPSFazxXITET4f6ZJhw","Beef 'O' Brady's","18421 N US Hwy 41","Lutz","FL","33549","28.14065"," -82.46120","3.0","  46","1","u'free'"," 'street': False","True","False","True","True"
"203","_HcAoG6Jj_XTj4-XNEbo6Q","Fuzzy's Taco Shop","5621 E Fowler Ave, Units 201-207","Tampa","FL","33617","28.05333"," -82.39281","3.0"," 172","1","u'free'"," 'street': False","True","True","True","True"
"225","fT4jl8pcXCxKBrM85XjXSg","Vino Simpatico","722 Pasadena Ave S","Saint Petersburg","FL","33707","27.76312"," -82.73431","4.5","  21","1","u'free'"," 'street': False","True","False","True","False"
"226","","","","","","","","","","","","","","","","",""
"246","ryHhnOItSVPJB81Ty0Xb2g","Stonefire Tavern","10637 117th Dr N","Largo","FL","33773","27.88001"," -82.78617","4.0","  59","0","u'free'"," 'street': False","True","False","True","False"
"264","v8IbZ6wcvdyGqWpbDKDvfA","YO! Sushi","International Plz, 2223 N Westshore Blvd","Tampa","FL","33607","27.96454"," -82.52076","4.0"," 121","0","'free'"," 'street': False","True","False","False","True"
"274","12:0-3:0","12:0-3:0","12:0-3:0","12:0-3:0","12:0-3:0","12:0-3:0","","","","","","","","","","",""
"275","VZfc50XVwgdCecH4YbGNFg","EATS! American Grill","4502 S Dale Mabry Hwy","Tampa","FL","33611","27.90258"," -82.50563","4.0"," 323","0","'free'"," 'street': False","True","True","True","True"
"285","nFjk0xVI9fNiVN__5g-m8Q","Ichicoro Ane","260 1st Ave S, Ste 100","Saint Petersburg","FL","33701","27.77010"," -82.63646","4.0"," 264","1","u'free'"," 'street': True","True","False","False","True"
"322","JOvNunKJlWhwJRwLmUR9ZA","Tryst Gastro Lounge","240 Beach Dr NE","St Petersburg","FL","33701","27.77452"," -82.63271","3.5"," 295","1","'free'"," 'street': True","True","True","True","False"
"353","nIE7ph1w_bttQMJQx5hUEQ","D-Town Bar & Grill","1056 Main St","Dunedin","FL","34698","28.01925"," -82.77485","3.0","  91","1","'free'"," 'street': False","True","False","True","True"
"354","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","","","","","","","","","","","",""
"363","11:0-18:0","11:0-18:0","11:0-0:0","11:0-2:0","16:0-2:0","16:0-0:0","","","","","","","","","","",""
