"","RestaurantsPriceRange2","BikeParking","RestaurantsTakeOut","WiFi","RestaurantsDelivery","GoodForKids","OutdoorSeating","HasTV","RestaurantsReservations","RestaurantsGoodForGroups","Caters","WheelchairAccessible","RestaurantsTableService","DogsAllowed","HappyHour","DriveThru","BYOB","BYOBCorkage","is_open"
"1",1,"True","True","False","True","True","False","False","True","True","False","False","False","False","False","False","False","False",0
"2",2,"False","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"3",1,"False","True","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False",0
"4",0,"False","True","free","True","False","False","True","False","False","True","True","True","False","False","False","False","False",1
"5",1,"True","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"6",0,"False","False","False","False","False","False","True","False","True","False","False","True","False","False","False","False","False",1
"7",1,"True","True","False","True","True","True","True","False","True","True","True","True","False","False","False","False","False",1
"8",2,"True","True","free","False","True","False","True","False","True","True","False","True","False","False","False","False","False",0
"9",1,"False","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",0
"10",1,"True","True","False","True","True","False","False","True","True","False","False","False","False","False","False","False","False",0
"11",1,"False","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False",1
"12",1,"True","True","False","True","True","False","False","False","True","False","False","False","False","False","False","False","False",0
"13",1,"True","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False",1
"14",1,"False","True","False","True","True","False","True","False","True","True","False","False","False","False","False","False","False",1
"15",1,"False","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"16",1,"False","True","free","False","True","False","True","True","True","False","False","False","False","False","False","False","False",1
"17",2,"False","True","False","False","False","True","False","True","False","False","True","False","True","False","False","False","False",1
"18",1,"False","True","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False",1
"19",0,"False","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"20",0,"False","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False",1
