"","RestaurantsPriceRange2","BikeParking","RestaurantsTakeOut","WiFi","RestaurantsDelivery","GoodForKids","OutdoorSeating","HasTV","RestaurantsReservations","RestaurantsGoodForGroups","Caters","WheelchairAccessible","RestaurantsTableService","DogsAllowed","HappyHour","BYOB","is_open"
"1",2,"True","False","free","False","True","False","True","True","True","False","True","True","False","False","False",0
"2",1,"False","False","False","False","False","False","False","False","True","True","False","False","False","False","False",0
"3",2,"True","True","False","False","True","False","True","True","True","False","False","False","False","False","False",0
"4",2,"False","True","False","False","True","False","True","True","True","True","False","True","False","True","False",1
"5",0,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"6",2,"True","True","free","True","True","False","True","True","True","True","False","False","False","True","False",1
"7",2,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"8",2,"True","True","free","False","True","False","False","True","True","True","False","False","False","False","False",0
"9",2,"True","True","free","True","False","False","True","True","True","True","True","True","False","True","False",1
"10",2,"False","True","False","False","True","False","True","False","True","False","False","False","False","False","False",0
"11",2,"True","True","free","False","True","False","True","True","True","False","True","True","False","False","False",1
"12",1,"False","True","free","True","True","False","True","False","True","False","False","False","False","False","False",0
"13",2,"False","True","free","True","True","False","True","True","True","True","False","True","False","True","False",1
"14",0,"True","True","False","True","False","False","True","False","False","True","True","True","False","False","False",0
"15",1,"True","True","free","False","True","False","True","False","True","True","True","True","False","False","False",1
"16",2,"True","True","free","True","True","False","False","False","True","False","True","False","False","False","False",1
"17",1,"True","True","False","True","True","True","False","False","True","True","True","True","False","False","False",1
"18",0,"False","True","False","True","False","False","False","False","False","True","True","False","False","False","False",1
"19",2,"False","True","False","True","True","False","True","False","True","False","False","True","False","False","False",1
"20",0,"False","True","False","True","False","False","False","False","False","False","True","False","False","False","False",1
"21",1,"False","False","False","False","False","False","False","False","False","True","False","False","False","False","False",0
"22",2,"True","True","free","True","True","True","True","False","False","True","False","False","False","False","False",0
"23",1,"False","True","free","False","True","True","True","False","True","True","False","False","False","False","False",0
"24",2,"False","True","False","False","True","False","True","False","True","True","True","True","False","False","False",0
"25",0,"False","True","free","False","False","True","True","False","False","True","False","False","False","False","False",1
"26",0,"False","True","free","True","False","False","False","False","False","False","True","True","False","False","True",0
"27",2,"False","True","free","True","True","False","True","True","True","False","False","True","False","False","False",1
"28",2,"False","True","free","True","True","True","True","True","True","True","True","True","False","True","False",0
"29",2,"False","False","free","False","True","False","True","False","True","False","True","True","False","False","False",1
"30",2,"False","True","False","False","True","False","False","False","True","True","False","False","False","False","False",0
"31",0,"False","True","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"32",2,"True","True","False","False","True","True","True","True","True","False","False","False","False","False","False",0
"33",2,"True","True","False","True","True","False","True","True","True","True","False","True","False","False","False",1
"34",2,"False","True","False","False","True","False","True","False","True","False","True","False","False","False","False",1
"35",2,"True","True","False","True","True","True","False","False","True","False","False","False","False","False","False",1
"36",2,"False","True","free","True","False","True","True","True","True","True","True","True","True","True","False",1
"37",0,"False","True","free","False","False","False","True","True","False","False","True","True","False","False","False",1
"38",2,"True","True","False","False","True","False","True","True","True","True","False","True","False","False","False",0
"39",2,"False","False","False","False","False","False","True","False","False","False","False","True","False","False","False",1
"40",2,"False","True","False","False","False","False","False","False","False","True","False","False","False","False","False",1
"41",2,"True","True","False","False","True","False","True","False","True","False","False","False","False","False","False",0
"42",2,"True","True","free","True","True","False","True","True","True","False","True","True","False","True","False",1
"43",1,"True","True","free","True","False","False","False","False","True","False","True","False","False","False","True",1
"44",2,"True","True","False","False","True","False","False","True","True","False","False","True","False","False","False",1
"45",2,"False","False","False","False","True","False","True","True","True","False","False","True","False","False","False",1
"46",2,"False","True","False","False","True","True","True","False","True","False","False","False","False","False","False",0
"47",2,"True","True","free","True","True","True","True","True","True","True","False","False","False","True","False",0
